city,model,year,season,tas_c
Chicago,CESM2,1907,winter,-0.9761999999999998
Chicago,CESM2,1908,summer,24.310466666666667
Chicago,CESM2,1908,winter,-2.1733666666666664
Chicago,CESM2,1909,summer,24.633266666666668
Chicago,CESM2,1909,winter,-0.8964666666666666
Chicago,CESM2,1910,summer,24.118733333333335
Chicago,CESM2,1910,winter,-2.4685
Chicago,CESM2,1911,summer,24.54773333333333
Chicago,CESM2,1911,winter,-2.2657666666666665
Chicago,CESM2,1912,summer,23.066600000000005
Chicago,CESM2,1912,winter,-0.03260000000000011
Chicago,CESM2,1913,summer,25.0778
Chicago,CESM2,1913,winter,-1.0400666666666665
Chicago,CESM2,1914,summer,25.302166666666665
Chicago,CESM2,1914,winter,0.37753333333333333
Chicago,CESM2,1915,summer,25.0227
Chicago,CESM2,1915,winter,-2.853733333333333
Chicago,CESM2,1916,summer,25.452933333333334
Chicago,CESM2,1916,winter,-1.5913666666666668
Chicago,CESM2,1917,summer,27.1153
Chicago,CESM2,1917,winter,-5.254700000000001
Chicago,CESM2,1918,summer,24.5532
Chicago,CESM2,1918,winter,-3.8902
Chicago,CESM2,1919,summer,25.834733333333332
Chicago,CESM2,1919,winter,0.3897
Chicago,CESM2,1920,summer,26.066300000000002
Chicago,CESM2,1920,winter,-3.064666666666667
Chicago,CESM2,1921,summer,24.235699999999998
Chicago,CESM2,1921,winter,1.5849333333333335
Chicago,CESM2,1922,summer,25.527966666666668
Chicago,CESM2,1922,winter,0.5010666666666667
Chicago,CESM2,1923,summer,26.41893333333333
Chicago,CESM2,1923,winter,0.15973333333333337
Chicago,CESM2,1924,summer,24.24836666666667
Chicago,CESM2,1924,winter,-0.014000000000000087
Chicago,CESM2,1925,summer,23.167166666666663
Chicago,CESM2,1925,winter,0.040200000000000014
Chicago,CESM2,1926,summer,26.1447
Chicago,CESM2,1926,winter,-2.2669333333333332
Chicago,CESM2,1927,summer,23.93726666666667
Chicago,CESM2,1927,winter,-0.6321333333333333
Chicago,CESM2,1928,summer,25.6601
Chicago,CESM2,1928,winter,-3.3344333333333336
Chicago,CESM2,1929,summer,25.365866666666665
Chicago,CESM2,1929,winter,-3.2762333333333333
Chicago,CESM2,1930,summer,26.2976
Chicago,CESM2,1930,winter,-2.0957666666666666
Chicago,CESM2,1931,summer,25.8014
Chicago,CESM2,1931,winter,-1.835733333333333
Chicago,CESM2,1932,summer,23.518466666666665
Chicago,CESM2,1932,winter,-1.3922
Chicago,CESM2,1933,summer,25.629133333333332
Chicago,CESM2,1933,winter,-1.3557666666666666
Chicago,CESM2,1934,summer,22.7564
Chicago,CESM2,1934,winter,-2.1807000000000003
Chicago,CESM2,1935,summer,26.087433333333333
Chicago,CESM2,1935,winter,-2.6394333333333333
Chicago,CESM2,1936,summer,25.6862
Chicago,CESM2,1936,winter,-0.5518333333333333
Chicago,CESM2,1937,summer,26.234266666666667
Chicago,CESM2,1937,winter,-1.3431333333333333
Chicago,CESM2,1938,summer,25.378933333333332
Chicago,CESM2,1938,winter,-3.7723666666666666
Chicago,CESM2,1939,summer,25.481133333333332
Chicago,CESM2,1939,winter,-1.3566666666666667
Chicago,CESM2,1940,summer,25.990433333333332
Chicago,CESM2,1940,winter,-3.436566666666667
Chicago,CESM2,1941,summer,24.48006666666667
Chicago,CESM2,1941,winter,-3.075533333333333
Chicago,CESM2,1942,summer,24.151033333333334
Chicago,CESM2,1942,winter,-2.9156999999999997
Chicago,CESM2,1943,summer,25.108966666666664
Chicago,CESM2,1943,winter,-3.6131999999999995
Chicago,CESM2,1944,summer,25.640733333333333
Chicago,CESM2,1944,winter,-5.4221
Chicago,CESM2,1945,summer,25.4841
Chicago,CESM2,1945,winter,-1.6453333333333333
Chicago,CESM2,1946,summer,25.24076666666667
Chicago,CESM2,1946,winter,-2.0686
Chicago,CESM2,1947,summer,26.91796666666667
Chicago,CESM2,1947,winter,-1.2399333333333333
Chicago,CESM2,1948,summer,25.9937
Chicago,CESM2,1948,winter,0.7801999999999999
Chicago,CESM2,1949,summer,26.627233333333333
Chicago,CESM2,1949,winter,-2.3508333333333336
Chicago,CESM2,1950,summer,25.2016
Chicago,CESM2,1950,winter,-2.066
Chicago,CESM2,1951,summer,25.290066666666664
Chicago,CESM2,1951,winter,-1.1122333333333334
Chicago,CESM2,1952,summer,25.160533333333333
Chicago,CESM2,1952,winter,-2.052166666666667
Chicago,CESM2,1953,summer,25.235566666666667
Chicago,CESM2,1953,winter,-2.3806666666666665
Chicago,CESM2,1954,summer,24.523133333333334
Chicago,CESM2,1954,winter,-1.6774000000000004
Chicago,CESM2,1955,summer,23.4398
Chicago,CESM2,1955,winter,-2.4149333333333334
Chicago,CESM2,1956,summer,24.83236666666667
Chicago,CESM2,1956,winter,-5.248833333333333
Chicago,CESM2,1957,summer,22.240133333333333
Chicago,CESM2,1957,winter,-3.5881000000000003
Chicago,CESM2,1958,summer,24.991833333333332
Chicago,CESM2,1958,winter,-2.0856666666666666
Chicago,CESM2,1959,summer,23.560599999999997
Chicago,CESM2,1959,winter,-4.5632
Chicago,CESM2,1960,summer,24.6922
Chicago,CESM2,1960,winter,-6.077500000000001
Chicago,CESM2,1961,summer,23.991
Chicago,CESM2,1961,winter,-5.681766666666667
Chicago,CESM2,1962,summer,21.9421
Chicago,CESM2,1962,winter,-5.300366666666667
Chicago,CESM2,1963,summer,25.691366666666667
Chicago,CESM2,1963,winter,-2.5917999999999997
Chicago,CESM2,1964,summer,24.855166666666666
Chicago,CESM2,1964,winter,-3.6460666666666666
Chicago,CESM2,1965,summer,22.525533333333332
Chicago,CESM2,1965,winter,-4.030266666666667
Chicago,CESM2,1966,summer,24.349666666666668
Chicago,CESM2,1966,winter,-1.3582666666666665
Chicago,CESM2,1967,summer,23.3019
Chicago,CESM2,1967,winter,-3.8744666666666667
Chicago,CESM2,1968,summer,23.83226666666667
Chicago,CESM2,1968,winter,-4.8623
Chicago,CESM2,1969,summer,23.555000000000003
Chicago,CESM2,1969,winter,-1.6501666666666666
Chicago,CESM2,1970,summer,23.80933333333333
Chicago,CESM2,1970,winter,-4.9764
Chicago,CESM2,1971,summer,24.392299999999995
Chicago,CESM2,1971,winter,1.1707
Chicago,CESM2,1972,summer,26.286900000000003
Chicago,CESM2,1972,winter,-2.0613333333333332
Chicago,CESM2,1973,summer,24.044700000000002
Chicago,CESM2,1973,winter,-2.149433333333333
Chicago,CESM2,1974,summer,25.41633333333333
Chicago,CESM2,1974,winter,-1.7132000000000003
Chicago,CESM2,1975,summer,22.704966666666667
Chicago,CESM2,1975,winter,-5.368766666666667
Chicago,CESM2,1976,summer,25.112566666666666
Chicago,CESM2,1976,winter,-4.4145666666666665
Chicago,CESM2,1977,summer,23.630733333333335
Chicago,CESM2,1977,winter,-4.417933333333333
Chicago,CESM2,1978,summer,24.7068
Chicago,CESM2,1978,winter,-6.539766666666666
Chicago,CESM2,1979,summer,24.798000000000002
Chicago,CESM2,1979,winter,2.1368
Chicago,CESM2,1980,summer,24.622133333333334
Chicago,CESM2,1980,winter,-1.7190666666666665
Chicago,CESM2,1981,summer,27.031000000000002
Chicago,CESM2,1981,winter,-2.3578
Chicago,CESM2,1982,summer,23.919900000000002
Chicago,CESM2,1982,winter,0.026100000000000012
Chicago,CESM2,1983,summer,24.7683
Chicago,CESM2,1983,winter,-0.1166333333333333
Chicago,CESM2,1984,summer,25.9659
Chicago,CESM2,1984,winter,-2.162
Chicago,CESM2,1985,summer,27.231566666666666
Chicago,CESM2,1985,winter,-0.6120666666666666
Chicago,CESM2,1986,summer,23.824766666666665
Chicago,CESM2,1986,winter,-4.6925
Chicago,CESM2,1987,summer,23.99383333333333
Chicago,CESM2,1987,winter,-2.150533333333333
Chicago,CESM2,1988,summer,24.4475
Chicago,CESM2,1988,winter,0.9638
Chicago,CESM2,1989,summer,25.01556666666667
Chicago,CESM2,1989,winter,-0.9855333333333333
Chicago,CESM2,1990,summer,25.113033333333334
Chicago,CESM2,1990,winter,-2.7569666666666666
Chicago,CESM2,1991,summer,25.67526666666667
Chicago,CESM2,1991,winter,2.0638
Chicago,CESM2,1992,summer,25.1473
Chicago,CESM2,1992,winter,-0.5131
Chicago,CESM2,1993,summer,23.454733333333333
Chicago,CESM2,1993,winter,-2.3572
Chicago,CESM2,1994,summer,25.341800000000003
Chicago,CESM2,1994,winter,-2.075133333333333
Chicago,CESM2,1995,summer,25.600866666666665
Chicago,CESM2,1995,winter,-1.1849999999999998
Chicago,CESM2,1996,summer,24.235200000000003
Chicago,CESM2,1996,winter,-1.2239666666666666
Chicago,CESM2,1997,summer,23.671766666666667
Chicago,CESM2,1997,winter,-1.9902
Chicago,CESM2,1998,summer,24.481666666666666
Chicago,CESM2,1998,winter,-1.8820666666666668
Chicago,CESM2,1999,summer,24.476200000000002
Chicago,CESM2,1999,winter,0.05903333333333335
Chicago,CESM2,2000,summer,27.3798
Chicago,CESM2,2000,winter,-1.3276666666666668
Chicago,CESM2,2001,summer,26.378933333333332
Chicago,CESM2,2001,winter,-1.8808
Chicago,CESM2,2002,summer,26.984866666666665
Chicago,CESM2,2002,winter,-3.94
Chicago,CESM2,2003,summer,25.885199999999998
Chicago,CESM2,2003,winter,-1.1021333333333334
Chicago,CESM2,2004,summer,24.649199999999997
Chicago,CESM2,2004,winter,1.0158666666666667
Chicago,CESM2,2005,summer,26.596533333333337
Chicago,CESM2,2005,winter,2.9773
Chicago,CESM2,2006,summer,25.7906
Chicago,CESM2,2006,winter,-2.588033333333333
Chicago,CESM2,2007,summer,27.943466666666666
Chicago,CESM2,2007,winter,0.37600000000000006
Chicago,CESM2,2008,summer,26.95403333333333
Chicago,CESM2,2008,winter,-0.8979666666666667
Chicago,CESM2,2009,summer,25.695800000000002
Chicago,CESM2,2009,winter,-1.3341
Chicago,CESM2,2010,summer,25.89876666666667
Chicago,CESM2,2010,winter,-4.028533333333333
Chicago,CESM2,2011,summer,27.060833333333335
Chicago,CESM2,2011,winter,-0.6631666666666667
Chicago,CESM2,2012,summer,27.157966666666667
Chicago,CESM2,2012,winter,-0.8469000000000001
Chicago,CESM2,2013,summer,27.621333333333336
Chicago,CESM2,2013,winter,0.08553333333333328
Chicago,CESM2,2014,summer,27.787066666666664
Chicago,CESM2,2014,winter,-0.8037999999999998
Chicago,GFDL-ESM4,1850,summer,18.761766666666666
Chicago,GFDL-ESM4,1850,winter,-1.0466
Chicago,GFDL-ESM4,1851,summer,19.8687
Chicago,GFDL-ESM4,1851,winter,-0.9236666666666666
Chicago,GFDL-ESM4,1852,summer,20.2097
Chicago,GFDL-ESM4,1852,winter,-4.3246
Chicago,GFDL-ESM4,1853,summer,19.42
Chicago,GFDL-ESM4,1853,winter,-5.337
Chicago,GFDL-ESM4,1854,summer,20.7515
Chicago,GFDL-ESM4,1854,winter,-3.8432666666666666
Chicago,GFDL-ESM4,1855,summer,19.670866666666665
Chicago,GFDL-ESM4,1855,winter,-0.038866666666666605
Chicago,GFDL-ESM4,1856,summer,20.215766666666667
